run_id,seed,scenario,policy,profit,revenue,boarded_load_factor,accepted_booking_load_factor,booking_rate,avg_fare,denied_boardings,no_show_count,ticket_revenue,ancillary_revenue,total_cost
38,2064,baseline,static,13017.0,25750.0,0.5055555555555555,0.5722222222222222,0.5567567567567567,220.0,0,12,22660.0,3090.0,12733.0
39,2065,baseline,static,11458.0,23750.0,0.4666666666666667,0.5277777777777778,0.5135135135135135,220.0,0,11,20900.0,2850.0,12292.0
40,2066,baseline,static,16820.0,30750.0,0.6111111111111112,0.6833333333333333,0.6648648648648648,220.0,0,13,27060.0,3690.0,13930.0
41,2067,baseline,static,17879.0,32250.0,0.65,0.7166666666666667,0.6972972972972973,220.0,0,12,28380.0,3870.0,14371.0
42,2068,baseline,static,11830.0,24500.0,0.5,0.5444444444444444,0.5297297297297298,220.0,0,8,21560.0,2940.0,12670.0
43,2069,baseline,static,15637.0,29000.0,0.5611111111111111,0.6444444444444445,0.6270270270270271,220.0,0,15,25520.0,3480.0,13363.0
44,2070,baseline,static,10836.0,22750.0,0.43333333333333335,0.5055555555555555,0.4918918918918919,220.0,0,13,20020.0,2730.0,11914.0
45,2071,baseline,static,10584.0,22750.0,0.45555555555555555,0.5055555555555555,0.4918918918918919,220.0,0,9,20020.0,2730.0,12166.0
46,2072,baseline,static,13889.0,27000.0,0.5388888888888889,0.6,0.5837837837837838,220.0,0,11,23760.0,3240.0,13111.0
47,2073,baseline,static,14200.0,27500.0,0.5555555555555556,0.6111111111111112,0.5945945945945946,220.0,0,10,24200.0,3300.0,13300.0
48,2074,baseline,static,10958.0,23250.0,0.4666666666666667,0.5166666666666667,0.5027027027027027,220.0,0,9,20460.0,2790.0,12292.0
49,2075,baseline,static,15820.0,29750.0,0.6111111111111112,0.6611111111111111,0.6432432432432432,220.0,0,9,26180.0,3570.0,13930.0
50,2076,baseline,static,20003.0,34500.0,0.6611111111111111,0.7666666666666667,0.745945945945946,220.0,0,19,30360.0,4140.0,14497.0
51,2077,baseline,static,16507.0,30500.0,0.6166666666666667,0.6777777777777778,0.6594594594594595,220.0,0,11,26840.0,3660.0,13993.0
52,2078,baseline,static,16007.0,30000.0,0.6166666666666667,0.6666666666666666,0.6486486486486487,220.0,0,9,26400.0,3600.0,13993.0
